"region","lender","sector","year","total_amount_usd","number_transactions"
"Eastern Africa","EIB","Industrials",2015,86892280.8099496,3
"Eastern Africa","EIB","Industrials",2016,44444444.4444444,1
"Eastern Africa","EIB","Industrials",2017,739391113.892365,9
"Eastern Africa","EIB","Industrials",2018,153983908.045977,2
"Eastern Africa","EIB","Industrials",2020,176470588.235294,1
"Eastern Africa","EIB","Industrials",2022,228409090.909091,1
"Eastern Africa","EIB","Industrials",2023,11195652.173913,2
"Eastern Africa","EIB","Information Technology",2017,8988764.04494382,2
"Eastern Africa","EIB","Information Technology",2021,16470588.2352941,1
"Eastern Africa","EIB","Materials",2015,23673890,1
"Eastern Africa","EIB","Real Estate",2013,2e+07,1
"Eastern Africa","EIB","Utilities",2010,764544414.333746,8
"Eastern Africa","EIB","Utilities",2011,139851541.130843,4
"Eastern Africa","EIB","Utilities",2013,269788967.049241,3
"Eastern Africa","EIB","Utilities",2014,435375449.288951,7
"Eastern Africa","EIB","Utilities",2015,247291081.012011,3
"Eastern Africa","EIB","Utilities",2016,291305264.417474,7
"Eastern Africa","EIB","Utilities",2017,101170396.282881,3
"Eastern Africa","EIB","Utilities",2018,73686506.0240964,2
"Eastern Africa","EIB","Utilities",2019,61571234.6953808,2
"Eastern Africa","EIB","Utilities",2020,318342245.989305,4
"Eastern Africa","EIB","Utilities",2021,96385542.1686747,1
"Eastern Africa","EIB","Utilities",2022,81649484.5360825,1
"Eastern Africa","EIB","Utilities",2024,152173913.043478,1
"Eastern Africa","FMO","Communication Services",2014,4e+07,2
"Eastern Africa","FMO","Communication Services",2020,1500000,1
"Eastern Africa","FMO","Communication Services",2021,6e+05,1
"Eastern Africa","FMO","Communication Services",2022,2.5e+07,1
"Eastern Africa","FMO","Consumer Discretionary",2012,2405063.29113924,1
"Eastern Africa","FMO","Consumer Discretionary",2014,9430000,1
"Eastern Africa","FMO","Consumer Discretionary",2015,2e+06,1
"Eastern Africa","FMO","Consumer Discretionary",2017,4e+06,1
"Eastern Africa","FMO","Consumer Staples",2013,9e+06,3
"Eastern Africa","FMO","Consumer Staples",2014,3.5e+07,4
"Eastern Africa","FMO","Consumer Staples",2015,49600000,11
"Eastern Africa","FMO","Consumer Staples",2016,7827186.76122931,3
"Eastern Africa","FMO","Consumer Staples",2017,20164705.8823529,3
"Eastern Africa","FMO","Consumer Staples",2018,28802581.8245561,4
"Eastern Africa","FMO","Consumer Staples",2020,87439656.311963,6
"Eastern Africa","FMO","Consumer Staples",2022,30000,1
"Eastern Africa","FMO","Consumer Staples",2023,92500000,3
"Eastern Africa","FMO","Consumer Staples",2024,1e+07,1
"Eastern Africa","FMO","Financials",2012,10500000,2
"Eastern Africa","FMO","Financials",2013,90155135.1351351,7
"Eastern Africa","FMO","Financials",2014,52190890.4109589,7
"Eastern Africa","FMO","Financials",2015,60107526.8817204,6
"Eastern Africa","FMO","Financials",2016,67011111.1111111,6
"Eastern Africa","FMO","Financials",2017,221540274.130603,12
"Eastern Africa","FMO","Financials",2018,187811363.636364,24
"Eastern Africa","FMO","Financials",2019,41971183.9027268,8
"Eastern Africa","FMO","Financials",2020,126198475.231065,11
"Eastern Africa","FMO","Financials",2021,64264339.7503173,7
"Eastern Africa","FMO","Financials",2022,139729197.369943,10
"Eastern Africa","FMO","Financials",2023,89699835.8746402,9
"Eastern Africa","FMO","Financials",2024,95200000,4
"Eastern Africa","FMO","Health Care",2015,5434782.60869565,1
"Eastern Africa","FMO","Industrials",2015,70000,1
"Eastern Africa","FMO","Industrials",2017,1e+07,2
"Eastern Africa","FMO","Industrials",2019,54945.0549450549,1
"Eastern Africa","FMO","Industrials",2022,247524.752475248,1
"Eastern Africa","FMO","Industrials",2023,1e+07,1
"Eastern Africa","FMO","Information Technology",2015,2e+07,2
"Eastern Africa","FMO","Information Technology",2016,22300000,1
"Eastern Africa","FMO","Materials",2015,28500000,3
"Eastern Africa","FMO","Materials",2016,6e+06,1
"Eastern Africa","FMO","Materials",2017,517647.058823529,1
"Eastern Africa","FMO","Materials",2019,50000,1
"Eastern Africa","FMO","Materials",2020,7500000,1
"Eastern Africa","FMO","Materials",2024,5e+05,2
"Eastern Africa","FMO","Public",2013,11250000,1
"Eastern Africa","FMO","Public",2016,1500000,1
"Eastern Africa","FMO","Utilities",2014,142723028.91933,8
"Eastern Africa","FMO","Utilities",2015,68950000,7
"Eastern Africa","FMO","Utilities",2016,50680000,6
"Eastern Africa","FMO","Utilities",2017,122740000,10
"Eastern Africa","FMO","Utilities",2018,69235294.117647,3
"Eastern Africa","FMO","Utilities",2019,95289034.9513701,15
"Eastern Africa","FMO","Utilities",2020,6021988.79551821,6
"Eastern Africa","FMO","Utilities",2021,40330000,3
"Eastern Africa","FMO","Utilities",2022,57571914.893617,11
"Eastern Africa","FMO","Utilities",2023,39697719.336319,8
"Eastern Africa","IBRD","Consumer Discretionary",2023,1.5e+08,1
"Eastern Africa","IBRD","Consumer Staples",2023,5e+08,1
"Eastern Africa","IBRD","Energy",2010,2903979.75,4
"Eastern Africa","IBRD","Energy",2011,2788725.77,4
"Eastern Africa","IBRD","Energy",2012,2465373.44,4
"Eastern Africa","IBRD","Energy",2013,2076443.46,4
"Eastern Africa","IBRD","Energy",2014,1877924.17,4
"Eastern Africa","IBRD","Energy",2015,864541.06,2
"Eastern Africa","IBRD","Financials",2019,2.5e+08,1
"Eastern Africa","IBRD","Financials",2021,3.5e+07,1
"Eastern Africa","IBRD","Health Care",2020,1.5e+07,1
"Eastern Africa","IBRD","Industrials",2010,2e+07,1
"Eastern Africa","IBRD","Industrials",2012,19706155.42,2
"Eastern Africa","IBRD","Industrials",2022,2.3e+08,1
"Eastern Africa","IBRD","Industrials",2023,1e+08,1
"Eastern Africa","IBRD","Public",2010,9e+06,1
"Eastern Africa","IBRD","Public",2012,23437304.47,2
"Eastern Africa","IBRD","Public",2013,4.2e+07,3
"Eastern Africa","IBRD","Public",2014,1.4e+07,2
"Eastern Africa","IBRD","Public",2021,3e+07,1
"Eastern Africa","IBRD","Public",2024,4.5e+07,2
"Eastern Africa","IBRD","Utilities",2024,1.5e+07,1
"Eastern Africa","IDA","Communication Services",2012,70651576,2
"Eastern Africa","IDA","Communication Services",2013,2.2e+07,1
"Eastern Africa","IDA","Communication Services",2015,47983.79,1
"Eastern Africa","IDA","Communication Services",2016,381355.17,1
"Eastern Africa","IDA","Communication Services",2017,7031976.36,3
"Eastern Africa","IDA","Communication Services",2018,1e+07,1
"Eastern Africa","IDA","Communication Services",2023,89950.95,1
"Eastern Africa","IDA","Consumer Discretionary",2010,245348267.77,7
"Eastern Africa","IDA","Consumer Discretionary",2011,136539551.76,5
"Eastern Africa","IDA","Consumer Discretionary",2012,49477167.79,5
"Eastern Africa","IDA","Consumer Discretionary",2013,146360439.49,5
"Eastern Africa","IDA","Consumer Discretionary",2014,188453499.08,6
"Eastern Africa","IDA","Consumer Discretionary",2015,313163618.15,5
"Eastern Africa","IDA","Consumer Discretionary",2016,293594499.18,9
"Eastern Africa","IDA","Consumer Discretionary",2017,830298552.7,7
"Eastern Africa","IDA","Consumer Discretionary",2018,96497043.28,4
"Eastern Africa","IDA","Consumer Discretionary",2019,395152757.92,7
"Eastern Africa","IDA","Consumer Discretionary",2020,540270243.87,9
"Eastern Africa","IDA","Consumer Discretionary",2021,933500000,7
"Eastern Africa","IDA","Consumer Discretionary",2022,397127186.33,7
"Eastern Africa","IDA","Consumer Discretionary",2023,55261641.3,3
"Eastern Africa","IDA","Consumer Staples",2010,467506463,10
"Eastern Africa","IDA","Consumer Staples",2011,11461289.43,4
"Eastern Africa","IDA","Consumer Staples",2012,188435436.41,11
"Eastern Africa","IDA","Consumer Staples",2013,145827430.88,9
"Eastern Africa","IDA","Consumer Staples",2014,807376363.55,15
"Eastern Africa","IDA","Consumer Staples",2015,665407985.39,6
"Eastern Africa","IDA","Consumer Staples",2016,283609674.65,10
"Eastern Africa","IDA","Consumer Staples",2017,1567382538.34,17
"Eastern Africa","IDA","Consumer Staples",2018,261379810.51,6
"Eastern Africa","IDA","Consumer Staples",2019,1193881031.24,11
"Eastern Africa","IDA","Consumer Staples",2020,478255671.47,8
"Eastern Africa","IDA","Consumer Staples",2021,328143141.85,6
"Eastern Africa","IDA","Consumer Staples",2022,901999041.55,6
"Eastern Africa","IDA","Consumer Staples",2023,685000051.82,5
"Eastern Africa","IDA","Consumer Staples",2024,3e+08,1
"Eastern Africa","IDA","Energy",2010,26470745.65,1
"Eastern Africa","IDA","Energy",2011,1989987.57,1
"Eastern Africa","IDA","Energy",2013,21460000,1
"Eastern Africa","IDA","Energy",2014,1.5e+08,2
"Eastern Africa","IDA","Energy",2021,10723099.26,1
"Eastern Africa","IDA","Energy",2023,4795822.02,1
"Eastern Africa","IDA","Financials",2010,1.4e+07,1
"Eastern Africa","IDA","Financials",2011,74462546.75,4
"Eastern Africa","IDA","Financials",2012,163729120.83,7
"Eastern Africa","IDA","Financials",2013,74951.03,2
"Eastern Africa","IDA","Financials",2014,2.7e+07,2
"Eastern Africa","IDA","Financials",2015,1.82e+08,4
"Eastern Africa","IDA","Financials",2016,205100000,2
"Eastern Africa","IDA","Financials",2017,5e+07,1
"Eastern Africa","IDA","Financials",2018,1.45e+09,5
"Eastern Africa","IDA","Financials",2019,2.23e+08,5
"Eastern Africa","IDA","Financials",2020,2811798904.62,12
"Eastern Africa","IDA","Financials",2021,1265006973.51,11
"Eastern Africa","IDA","Financials",2022,940824933.37,11
"Eastern Africa","IDA","Financials",2023,2473788318.74,13
"Eastern Africa","IDA","Financials",2024,5e+07,1
"Eastern Africa","IDA","Health Care",2010,354196325.91,8
"Eastern Africa","IDA","Health Care",2011,157349543.11,6
"Eastern Africa","IDA","Health Care",2012,116115584.3,6
"Eastern Africa","IDA","Health Care",2013,149048762.71,8
"Eastern Africa","IDA","Health Care",2014,141457457.38,7
"Eastern Africa","IDA","Health Care",2015,204068988.92,4
"Eastern Africa","IDA","Health Care",2016,322600000,4
"Eastern Africa","IDA","Health Care",2017,380022309.09,5
"Eastern Africa","IDA","Health Care",2018,99845738.24,11
"Eastern Africa","IDA","Health Care",2019,171420439.91,5
"Eastern Africa","IDA","Health Care",2020,914450922.81,13
"Eastern Africa","IDA","Health Care",2021,1865296900.8,23
"Eastern Africa","IDA","Health Care",2022,1379751670.42,19
"Eastern Africa","IDA","Health Care",2023,236640208.58,7
"Eastern Africa","IDA","Health Care",2024,4.2e+08,4
"Eastern Africa","IDA","Industrials",2010,387505843.11,12
"Eastern Africa","IDA","Industrials",2011,476430800.07,7
"Eastern Africa","IDA","Industrials",2012,1252967316.96,15
"Eastern Africa","IDA","Industrials",2013,927343962.6,20
"Eastern Africa","IDA","Industrials",2014,1816694604.53,15
"Eastern Africa","IDA","Industrials",2015,2189532014.81,19
"Eastern Africa","IDA","Industrials",2016,1004463665.09,15
"Eastern Africa","IDA","Industrials",2017,2235204757.7,18
"Eastern Africa","IDA","Industrials",2018,1204302576.85,14
"Eastern Africa","IDA","Industrials",2019,1589090921.95,24
"Eastern Africa","IDA","Industrials",2020,2618414005.23,26
"Eastern Africa","IDA","Industrials",2021,2842637635.28,26
"Eastern Africa","IDA","Industrials",2022,5265584828.33,28
"Eastern Africa","IDA","Industrials",2023,1351936175.97,25
"Eastern Africa","IDA","Industrials",2024,698360000,8
"Eastern Africa","IDA","Information Technology",2014,3e+07,1
"Eastern Africa","IDA","Information Technology",2015,7.5e+07,1
"Eastern Africa","IDA","Information Technology",2017,72400000,1
"Eastern Africa","IDA","Information Technology",2021,6.6e+08,5
"Eastern Africa","IDA","Information Technology",2022,5e+07,1
"Eastern Africa","IDA","Information Technology",2023,7.4e+08,2
"Eastern Africa","IDA","Materials",2011,2.5e+07,1
"Eastern Africa","IDA","Materials",2013,58996883.28,5
"Eastern Africa","IDA","Materials",2014,14762.99,1
"Eastern Africa","IDA","Materials",2015,4.5e+07,1
"Eastern Africa","IDA","Materials",2016,866428.78,1
"Eastern Africa","IDA","Materials",2017,2.8e+07,1
"Eastern Africa","IDA","Materials",2018,20984080.46,1
"Eastern Africa","IDA","Materials",2020,849542.83,1
"Eastern Africa","IDA","Materials",2021,24128.62,1
"Eastern Africa","IDA","Materials",2023,1868603.2,1
"Eastern Africa","IDA","Public",2010,843393729.54,25
"Eastern Africa","IDA","Public",2011,1055117856.11,19
"Eastern Africa","IDA","Public",2012,2129108267.52,33
"Eastern Africa","IDA","Public",2013,873357203.4,42
"Eastern Africa","IDA","Public",2014,1001759778.8,31
"Eastern Africa","IDA","Public",2015,320700641.07,15
"Eastern Africa","IDA","Public",2016,520631048.97,13
"Eastern Africa","IDA","Public",2017,103317378.1,13
"Eastern Africa","IDA","Public",2018,867145576.8,13
"Eastern Africa","IDA","Public",2019,153756363.99,5
"Eastern Africa","IDA","Public",2020,286779162.07,11
"Eastern Africa","IDA","Public",2021,234160945.72,10
"Eastern Africa","IDA","Public",2022,1217461865.97,10
"Eastern Africa","IDA","Public",2023,532468700.85,6
"Eastern Africa","IDA","Public",2024,2.2e+08,4
"Eastern Africa","IDA","Utilities",2010,1010751904.14,17
"Eastern Africa","IDA","Utilities",2011,749507812.38,14
"Eastern Africa","IDA","Utilities",2012,1225273905.04,9
"Eastern Africa","IDA","Utilities",2013,747003118.42,14
"Eastern Africa","IDA","Utilities",2014,1003332684.02,22
"Eastern Africa","IDA","Utilities",2015,826678916.63,13
"Eastern Africa","IDA","Utilities",2016,798479147.08,15
"Eastern Africa","IDA","Utilities",2017,1692155928.55,24
"Eastern Africa","IDA","Utilities",2018,2016072038.24,21
"Eastern Africa","IDA","Utilities",2019,1207037250.87,44
"Eastern Africa","IDA","Utilities",2020,649190908.28,18
"Eastern Africa","IDA","Utilities",2021,1522809430.25,17
"Eastern Africa","IDA","Utilities",2022,1791881363.56,13
"Eastern Africa","IDA","Utilities",2023,2979608427.74,26
"Eastern Africa","IDA","Utilities",2024,966864080,5
"Eastern Africa","IFC","Communication Services",2015,2e+07,1
"Eastern Africa","IFC","Communication Services",2017,6e+06,1
"Eastern Africa","IFC","Communication Services",2018,15880000,1
"Eastern Africa","IFC","Communication Services",2020,14975000,3
"Eastern Africa","IFC","Communication Services",2021,23640000,2
"Eastern Africa","IFC","Communication Services",2022,3.35e+08,3
"Eastern Africa","IFC","Communication Services",2024,3.5e+08,1
"Eastern Africa","IFC","Consumer Discretionary",2016,3500000,1
"Eastern Africa","IFC","Consumer Discretionary",2019,1.4e+07,4
"Eastern Africa","IFC","Consumer Discretionary",2020,1258139,2
"Eastern Africa","IFC","Consumer Discretionary",2021,1440000,1
"Eastern Africa","IFC","Consumer Discretionary",2022,3750000,1
"Eastern Africa","IFC","Consumer Discretionary",2023,6e+07,3
"Eastern Africa","IFC","Consumer Discretionary",2024,1940000,2
"Eastern Africa","IFC","Consumer Staples",2014,3.2e+07,1
"Eastern Africa","IFC","Consumer Staples",2015,4.5e+07,2
"Eastern Africa","IFC","Consumer Staples",2016,4862760,2
"Eastern Africa","IFC","Consumer Staples",2017,23060270,8
"Eastern Africa","IFC","Consumer Staples",2018,11105000,6
"Eastern Africa","IFC","Consumer Staples",2019,62859998,9
"Eastern Africa","IFC","Consumer Staples",2020,40636661,8
"Eastern Africa","IFC","Consumer Staples",2021,15950000,3
"Eastern Africa","IFC","Consumer Staples",2022,37088000,4
"Eastern Africa","IFC","Consumer Staples",2023,229475088,10
"Eastern Africa","IFC","Consumer Staples",2024,11030001,3
"Eastern Africa","IFC","Energy",2015,2.35e+08,3
"Eastern Africa","IFC","Energy",2017,1e+08,1
"Eastern Africa","IFC","Energy",2021,7800000,1
"Eastern Africa","IFC","Financials",2013,2104000,2
"Eastern Africa","IFC","Financials",2014,6975270,4
"Eastern Africa","IFC","Financials",2015,146572000,8
"Eastern Africa","IFC","Financials",2016,189108000,8
"Eastern Africa","IFC","Financials",2017,111052444,7
"Eastern Africa","IFC","Financials",2018,712206921,12
"Eastern Africa","IFC","Financials",2019,149836184,12
"Eastern Africa","IFC","Financials",2020,317432967,13
"Eastern Africa","IFC","Financials",2021,2543650000,18
"Eastern Africa","IFC","Financials",2022,686628659,18
"Eastern Africa","IFC","Financials",2023,831837013,27
"Eastern Africa","IFC","Financials",2024,75864500,9
"Eastern Africa","IFC","Health Care",2015,8910000,2
"Eastern Africa","IFC","Health Care",2016,2100000,1
"Eastern Africa","IFC","Health Care",2017,3e+06,1
"Eastern Africa","IFC","Health Care",2018,5931547,2
"Eastern Africa","IFC","Health Care",2020,4e+06,1
"Eastern Africa","IFC","Health Care",2021,5920000,4
"Eastern Africa","IFC","Health Care",2022,12700000,1
"Eastern Africa","IFC","Health Care",2023,7e+07,1
"Eastern Africa","IFC","Industrials",2015,1500000,1
"Eastern Africa","IFC","Industrials",2016,10650000,1
"Eastern Africa","IFC","Industrials",2017,35016359,2
"Eastern Africa","IFC","Industrials",2018,30801286,5
"Eastern Africa","IFC","Industrials",2019,7517022,5
"Eastern Africa","IFC","Industrials",2020,883057,3
"Eastern Africa","IFC","Industrials",2021,985000,1
"Eastern Africa","IFC","Industrials",2022,180000,2
"Eastern Africa","IFC","Industrials",2023,170189000,3
"Eastern Africa","IFC","Industrials",2024,385000,1
"Eastern Africa","IFC","Information Technology",2020,1850000,1
"Eastern Africa","IFC","Information Technology",2022,1e+07,1
"Eastern Africa","IFC","Materials",2015,74850000,3
"Eastern Africa","IFC","Materials",2017,2.1e+07,1
"Eastern Africa","IFC","Materials",2018,1e+06,1
"Eastern Africa","IFC","Materials",2020,1.8e+07,2
"Eastern Africa","IFC","Materials",2022,6e+06,1
"Eastern Africa","IFC","Materials",2023,4.5e+07,1
"Eastern Africa","IFC","Public",2015,8e+05,1
"Eastern Africa","IFC","Public",2018,1184710,2
"Eastern Africa","IFC","Public",2020,2500000,1
"Eastern Africa","IFC","Public",2021,1590000,1
"Eastern Africa","IFC","Public",2023,767000,1
"Eastern Africa","IFC","Real Estate",2015,1.5e+07,1
"Eastern Africa","IFC","Real Estate",2016,1e+07,1
"Eastern Africa","IFC","Real Estate",2017,12800000,1
